Date,Hour,Minute,Positive,Negative,Tweet,Translated_Tweet,Keyword(s),Tweet_link
2022.08.22,6,10, ,1,RT @daigooregairu: 実は弟が新型コロナかかったんだが、やっぱあれかかったらヤバいわ。熱40度、咳、倦怠感のフルコンボ。近隣の病院は受診できず、発熱外来あるとこも保健所も電話が繋がらない。ワクチンしてなかったらおそらく死んでた。弟曰く「死ぬかと思った」なお、熱が…,"RT @daigooregairu: Actually, my brother got the new coronavirus, but it would be dangerous if he got it. Full combo of 40 degrees fever, cough and malaise. Nearby hospitals are not accessible, and there is no phone connection to fever outpatient clinics or public health centers. If I hadn't been vaccinated, I would have probably died. My brother said, ""I thought I was going to die."" Furthermore, the fever...",no,https://twitter.com/twitter/status/1561596758924603395
2022.08.22,6,10, ,1,"""怖ろしい、、大変なことが起こりそうだワクチン接種者は深く後悔している～ワクチン接種後の血液中の赤血球が破壊された映像から～https://t.co/uLzkmQJaoa https://t.co/qQHL9wUjKx","""Scary, something terrible is about to happen Vaccines are deeply regretted ~ From the video of the destruction of red blood cells in the blood after vaccination ~ https://t.co/uLzkmQJaoa https:// t.co/qQHL9wUjKx",terrible,https://twitter.com/twitter/status/1561596753027420160
2022.08.22,6,10, ,1,"RT @nagunagumomo: 新型コロナ陽性になりました。症状は38.5度の熱が2日、倦怠感が1週間ほどありました。数年前に罹患したインフルエンザと比べると全然楽でした。過去に引いた風邪と比べて特に違いはありません。こんな""ただの風邪""に怯えて人類初のmRNAワクチンを打…","RT @nagunagumomo: New Corona positive. The symptoms were a fever of 38.5 degrees for two days and malaise for about a week. It was much easier than the flu I had a few years ago. It's no different than any cold I've had in the past. Fearing such a ""just a cold"", I shot the first mRNA vaccine for humankind...",no,https://twitter.com/twitter/status/1561596748468219905
2022.08.22,6,11, ,1,RT @OvjB2Yute4GVwPR: 自民党政権の犠牲になり、どれだけの国民が死んだと思ってるのか⁉️身内、親戚、幸せを全て奪われた深い悲しみが自民党議員には判らないから🎵又コロナワクチン接種で、92万人も死んだのに‼️私利私欲の私物化嵩の、自民党は恥を知れよ‼️国会議員、…,"RT @OvjB2Yute4GVwPR: How many people do you think have died as a victim of the Liberal Democratic Party government? 920,000 people died! ️ Shame on the Liberal Democratic Party, who are selfish and selfish! ️ MPs,…",selfish,https://twitter.com/twitter/status/1561596803250016257
2022.08.22,6,11, ,1,"RT @Tanuk_Ichi: その後、朝日新聞に負けじと日本の愚かなあらゆるメディアが反HPVワクチン報道を展開
NHKなども含めて反ワクチン議員の池田としえらを時代の寵児として祭り上げる。
クローズアップ現代のURLはしれっと削除済(魚拓求む) https://t.co/Y…","RT @Tanuk_Ichi: After that, every stupid media in Japan developed anti-HPV vaccine coverage to lose to Asahi Shimbun
Including NHK, Ikeda Toshiera, an anti-vaccine lawmaker, will be celebrated as the darling of the times.
Close-up modern URL has been deleted (seeking fish print) https://t.co/Y…",stupid,https://twitter.com/twitter/status/1561596801618419712
2022.08.22,6,11,1, ,RT @nt47mn45: あまり報じないからみんな覚えてるかは分からないけどワク接種により脳の働きがとか車の運転する人は気をつけた方がいいんじゃないか？みたいな事を呟いた記憶があるんだけど、最近車の事故が多いような…｡タクシーやバスの運転手さんは特にワクチン接種を強制義務で打…,"RT @nt47mn45: I don't know if everyone remembers because I don't report much, but isn't it better to be careful about how the brain works due to vaccination and people who drive cars? I remember muttering something like that, but it seems like there have been a lot of car accidents lately... Taxis and bus drivers in particular have a compulsory vaccination requirement...",careful,https://twitter.com/twitter/status/1561596798593994755
2022.08.22,6,11,1, ,RT @takavet1: 欧米はあの手この手で、支配を続けるために、新しい枠組み、ルールを押し付けてきます。その際、巧妙に正義を振りかざし、善人を装います。日本を守るために欧米の策略には十分気をつけた方がいいです。無批判に受け入れるのはとても危険です。ワクチンしかり、SDGs…,"RT @takavet1: The West will do whatever it takes to impose new frameworks and rules in order to maintain its dominance. At that time, he skillfully brandishes justice and pretends to be a good person. In order to protect Japan, it is better to pay close attention to the strategies of Europe and the United States. Uncritical acceptance is very dangerous. Vaccines, SDGs...",good,https://twitter.com/twitter/status/1561596794211303424
2022.08.22,6,11, ,1,"RT @BB45_Colorado: ADEについて追加。

第1世代COVID-19ワクチンのADEは、全世界で学術的合意が形成される段階に入っていますが、それが何故可能であったのかを概説しています。

ワクチンにADEが検出されたことがワクチンの否定にはならないというのが僕…","RT @BB45_Colorado: Added about ADE.

An ADE for a first-generation COVID-19 vaccine is on the verge of reaching scientific consensus worldwide, and outlines why it was possible.

It is my view that the detection of ADE in vaccines does not negate the use of vaccines.",negate,https://twitter.com/twitter/status/1561596790419312640
2022.08.22,6,11, ,1,"RT @nagunagumomo: 新型コロナはただの風邪ではない、後遺症に悩んでいる人もいる。という意見は否定しません。

しかし、それがワクチンを接種したり、マスクをする事と何か関係があるのですか？","RT @nagunagumomo: The new corona is not just a cold, some people are suffering from aftereffects. I do not deny the opinion.

But what does that have to do with getting vaccinated or wearing a mask?",deny,https://twitter.com/twitter/status/1561596786686722048
2022.08.22,6,10, ,1,"RT @Tanuk_Ichi: 子宮頸がんやHPVワクチンに関して凄まじい数の質問やDMが来るので、可能な範囲でこちらでお返事します。

まず最も多い質問
Q. ◯◯歳で性交渉の経験もあるんですけど、HPVワクチンは接種した方が良いんでしょうか？
A. 26歳以下なら強く推奨、…","RT @Tanuk_Ichi: I get a tremendous number of questions and DMs about cervical cancer and HPV vaccines, so I'll answer them here as much as possible.

First most common question
Q. I am XX years old and have had sexual intercourse. Should I get the HPV vaccine?
A. Strongly recommended if you are under 26,…",old,https://twitter.com/twitter/status/1561596779652853760
